"id","age","height"
"301",8,127.4
"301",8.5,130.6
"301",9,133.4
"301",9.5,135.9
"301",10,138.6
"301",10.5,142.4
"301",11,146.8
"301",11.5,150.3
"301",12,153.1
"301",12.5,155
"301",13,156.2
"301",13.5,157.1
"301",14,157.7
"301",14.5,158
"301",15,158.2
"301",15.5,158.4
"301",16,158.6
"301",16.5,158.7
"301",17,158.7
"301",17.5,158.8
"301",18,158.9
"302",8,128.2
"302",8.5,131.1
"302",9,134.8
"302",9.5,138.2
"302",10,140.9
"302",10.5,143.4
"302",11,146.1
"302",11.5,149.4
"302",12,152.9
"302",12.5,156.4
"302",13,159.5
"302",13.5,161.6
"302",14,162.6
"302",14.5,163.6
"302",15,165
"302",15.5,165.3
"302",16,165.6
"302",16.5,165.9
"302",17,166.1
"302",17.5,166
"302",18,166
"303",8,134.2
"303",8.5,138
"303",9,141.5
"303",9.5,145.2
"303",10,148.8
"303",10.5,152.3
"303",11,155.6
"303",11.5,158.2
"303",12,159.6
"303",12.5,160.1
"303",13,160.3
"303",13.5,160.8
"303",14,161.6
"303",14.5,161.8
"303",15,161.7
"303",15.5,161.8
"303",16,161.9
"303",16.5,161.9
"303",17,161.7
"303",17.5,161.9
"303",18,162.2
"304",8,131
"304",8.5,134.1
"304",9,137.1
"304",9.5,140.2
"304",10,143
"304",10.5,145.7
"304",11,148.5
"304",11.5,151.5
"304",12,154.8
"304",12.5,158.4
"304",13,161.2
"304",13.5,163.5
"304",14,165.2
"304",14.5,166
"304",15,166.5
"304",15.5,166.9
"304",16,167.2
"304",16.5,167.4
"304",17,167.4
"304",17.5,167.6
"304",18,167.8
"305",8,131
"305",8.5,133.3
"305",9,136.1
"305",9.5,139.2
"305",10,141.9
"305",10.5,144.8
"305",11,147.8
"305",11.5,150.7
"305",12,153.7
"305",12.5,157.3
"305",13,161.1
"305",13.5,164.2
"305",14,166.2
"305",14.5,167.4
"305",15,168.3
"305",15.5,168.9
"305",16,169.4
"305",16.5,169.9
"305",17,170.4
"305",17.5,170.7
"305",18,170.9
"306",8,124.2
"306",8.5,127.6
"306",9,130.6
"306",9.5,133.6
"306",10,136.4
"306",10.5,139.7
"306",11,143.7
"306",11.5,148
"306",12,152
"306",12.5,155.7
"306",13,158.9
"306",13.5,160.9
"306",14,162.2
"306",14.5,163.2
"306",15,163.8
"306",15.5,164
"306",16,164.2
"306",16.5,164.4
"306",17,164.4
"306",17.5,164.8
"306",18,164.9
"307",8,128.8
"307",8.5,132.6
"307",9,136
"307",9.5,138.8
"307",10,141.1
"307",10.5,144
"307",11,147.7
"307",11.5,151.9
"307",12,155.9
"307",12.5,159.3
"307",13,161.7
"307",13.5,163.5
"307",14,164.9
"307",14.5,165.7
"307",15,166.2
"307",15.5,166.5
"307",16,166.9
"307",16.5,167.1
"307",17,166.7
"307",17.5,167.4
"307",18,168.1
"308",8,122.8
"308",8.5,125.5
"308",9,128
"308",9.5,130.3
"308",10,132.5
"308",10.5,134.9
"308",11,137.4
"308",11.5,139.9
"308",12,142.1
"308",12.5,144.2
"308",13,146.4
"308",13.5,148.9
"308",14,152.2
"308",14.5,155.3
"308",15,157.9
"308",15.5,160.1
"308",16,161.6
"308",16.5,162.4
"308",17,163
"308",17.5,163.4
"308",18,164
"309",8,127.9
"309",8.5,130.1
"309",9,132.4
"309",9.5,134.6
"309",10,137.3
"309",10.5,140.1
"309",11,142.9
"309",11.5,146.3
"309",12,150.1
"309",12.5,153.9
"309",13,157.1
"309",13.5,159.6
"309",14,161.1
"309",14.5,161.8
"309",15,162.3
"309",15.5,162.6
"309",16,162.6
"309",16.5,162.7
"309",17,163
"309",17.5,162.9
"309",18,163.3
"310",8,144.4
"310",8.5,148.4
"310",9,152.5
"310",9.5,156.6
"310",10,161.5
"310",10.5,166.1
"310",11,170.2
"310",11.5,173.5
"310",12,176
"310",12.5,177.3
"310",13,178.3
"310",13.5,179.1
"310",14,180
"310",14.5,181
"310",15,181.6
"310",15.5,181.9
"310",16,182.3
"310",16.5,182.6
"310",17,182.8
"310",17.5,182.7
"310",18,183.2
"311",8,130.2
"311",8.5,135
"311",9,138.4
"311",9.5,141.7
"311",10,144.9
"311",10.5,148
"311",11,151.8
"311",11.5,155.4
"311",12,158.5
"311",12.5,160.9
"311",13,163.2
"311",13.5,165
"311",14,165.8
"311",14.5,166.3
"311",15,166.7
"311",15.5,166.9
"311",16,167.2
"311",16.5,167.3
"311",17,167.1
"311",17.5,166.9
"311",18,167
"312",8,129.6
"312",8.5,132
"312",9,135.2
"312",9.5,138.5
"312",10,141.5
"312",10.5,144.9
"312",11,148.9
"312",11.5,152.6
"312",12,156.2
"312",12.5,159.6
"312",13,161.4
"312",13.5,162.4
"312",14,163.1
